date,content,user,geo_tag
2016-12-08 20:50:00+00:00,"@Narendramodi_PM might have had good intention behind demonetization undoubtedly but the common are losing their jobs,income&amp;employment https://t.co/LyryOBvPqX","{'username': 'MesoriseWorld', 'id': 1246773612, 'displayname': 'Nishant Dwivedi', 'description': 'CMD: - MEI Pvt. Ltd., Educator & Chief Mentor - Mesorise Positive World, TQL, Teens & Adolescent PDP, Felix World (Youth PDP), Teens & Kids Positive Parenting.', 'rawDescription': 'CMD: - MEI Pvt. Ltd., Educator & Chief Mentor - Mesorise Positive World, TQL, Teens & Adolescent PDP, Felix World (Youth PDP), Teens & Kids Positive Parenting.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2013, 3, 6, 19, 9, 7, tzinfo=datetime.timezone.utc), 'followersCount': 291, 'friendsCount': 1311, 'statusesCount': 6514, 'favouritesCount': 6398, 'listedCount': 0, 'mediaCount': 81, 'location': 'Malviya Nagar, South Delhi , Sector 56 Gurgaon', 'protected': False, 'linkUrl': 'http://felixworld.org', 'linkTcourl': 'https://t.co/TLHkE45XD1', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1254287537691975682/fq0n_ilV_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1246773612/1602603545', 'label': None}",New Delhi
2016-12-08 17:35:34+00:00,There has been a major cut off in Oxygen of Congress after #Demonetization &amp; there is complete loss of mental balance &amp; sanity. https://t.co/a83AfHfuIc,"{'username': 'FastNewsDelhi', 'id': 2472585180, 'displayname': 'Sanjay Kumar Mishra🚩', 'description': '📌AKHAND BHARAT\n📌Producer&Director\n📌News&Current Affairs\n📌Science,Cosmology &Creative Arts\n📌BJP IT CELL SUPPORT TEAM\n📌MY FOLLOWERS ARE MY STRENGTH', 'rawDescription': '📌AKHAND BHARAT\n📌Producer&Director\n📌News&Current Affairs\n📌Science,Cosmology &Creative Arts\n📌BJP IT CELL SUPPORT TEAM\n📌MY FOLLOWERS ARE MY STRENGTH', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2014, 5, 1, 14, 28, 1, tzinfo=datetime.timezone.utc), 'followersCount': 21725, 'friendsCount': 1104, 'statusesCount': 47769, 'favouritesCount': 27820, 'listedCount': 66, 'mediaCount': 4128, 'location': 'New Delhi, India', 'protected': False, 'linkUrl': 'http://rss.org', 'linkTcourl': 'https://t.co/Qz2M0qorXE', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1316412176224067586/gZfWqmTN_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2472585180/1569531449', 'label': None}",New Delhi
2016-12-08 17:15:24+00:00,.@narendramodi @arunjaitley We are supporting #Demonetization to support nation. But it seems that government has left loop holes. 😬😬😬 https://t.co/7X9RcN14ff,"{'username': 'GauravJaini', 'id': 918870559, 'displayname': 'Gaurav Jain 🇮🇳', 'description': '#DigitalMarketer #SEO #SocialMedia\nDM for any queries & assistance.', 'rawDescription': '#DigitalMarketer #SEO #SocialMedia\nDM for any queries & assistance.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2012, 11, 1, 12, 1, 21, tzinfo=datetime.timezone.utc), 'followersCount': 644, 'friendsCount': 887, 'statusesCount': 2489, 'favouritesCount': 1399, 'listedCount': 14, 'mediaCount': 169, 'location': 'India', 'protected': False, 'linkUrl': 'http://www.digitalmarketingrecipes.com', 'linkTcourl': 'https://t.co/PqkIVawbha', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1297088743124291584/MzGen5qd_normal.jpg', 'profileBannerUrl': None, 'label': None}",New Delhi
2016-12-08 16:45:32+00:00,@TimesNow ANAND FORGOT HE WAS ANCHORING A PROG ON DEMONETIZATION. WHAT WAS THE NEED TO TELL LIES LIKE POLITICIANS??,"{'username': 'pronabchaky', 'id': 3242409536, 'displayname': 'independent', 'description': 'LOVE INDIA & INDIAN SOLDIERS. MY SALUTE TO ALL SOLDIERS OF ARMY & PARA MILITARY.', 'rawDescription': 'LOVE INDIA & INDIAN SOLDIERS. MY SALUTE TO ALL SOLDIERS OF ARMY & PARA MILITARY.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2015, 6, 11, 15, 8, 21, tzinfo=datetime.timezone.utc), 'followersCount': 27, 'friendsCount': 23, 'statusesCount': 4368, 'favouritesCount': 670, 'listedCount': 5, 'mediaCount': 322, 'location': 'India', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/751232975589617664/az1T4IqK_normal.jpg', 'profileBannerUrl': None, 'label': None}",New Delhi
2016-12-08 12:22:47+00:00,Join us as me and my colleagues bring you a ground report on Demonetization. Special bulletin 6 pm @TimesNow. I'll join from Chandni Chowk. https://t.co/gBxhDVu9Zc,"{'username': 'scribe_prashant', 'id': 493059410, 'displayname': 'Prashant Kumar', 'description': 'Everything you want is behind a barricade of discomfort.', 'rawDescription': 'Everything you want is behind a barricade of discomfort.', 'descriptionUrls': None, 'verified': True, 'created': datetime.datetime(2012, 2, 15, 12, 2, 8, tzinfo=datetime.timezone.utc), 'followersCount': 63147, 'friendsCount': 2668, 'statusesCount': 44693, 'favouritesCount': 32068, 'listedCount': 150, 'mediaCount': 6175, 'location': 'New Delhi, India', 'protected': False, 'linkUrl': 'https://bit.ly/3vcj9Tt', 'linkTcourl': 'https://t.co/dCPZ00bguF', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1505231941242523651/4yL9VkXg_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/493059410/1621328753', 'label': None}",New Delhi
2016-12-08 12:15:25+00:00,@CNNnews18 #Demonetization Aadhaar linked Grocery/insurance to curb cash transaction abt USD 40 Billion Annually https://t.co/yHxbAMaAzn,"{'username': 'sureshkito', 'id': 127923382, 'displayname': 'SURESH KUMAR (IRS)', 'description': 'Why more cars? Replace cars by electric pods inside cities', 'rawDescription': 'Why more cars? Replace cars by electric pods inside cities', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2010, 3, 30, 16, 43, 10, tzinfo=datetime.timezone.utc), 'followersCount': 322, 'friendsCount': 929, 'statusesCount': 120507, 'favouritesCount': 129, 'listedCount': 58, 'mediaCount': 12862, 'location': 'New Delhi, India', 'protected': False, 'linkUrl': 'https://m.facebook.com/2030405873940044/photos/a.2031417047172260/2077510365896261/?type=3&source=48', 'linkTcourl': 'https://t.co/aKyx58S47a', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1038118158723207168/KWDC1tla_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/127923382/1476630993', 'label': None}",New Delhi
2016-12-08 08:59:03+00:00,My article on Today's Business Week Magazine #Entreprenuership #demonetization #DeMonetisation https://t.co/rzArfNAEuN,"{'username': 'amolarora', 'id': 55158929, 'displayname': 'aMoL aRoRa #RightToLearn', 'description': 'MD,SHEMROCK & SHEMFORD Group of #Schools|Spreading Quality #Schooling via #Franchising. #EdTech #Entrepreneurship #Preschools #Righttolearn', 'rawDescription': 'MD,SHEMROCK & SHEMFORD Group of #Schools|Spreading Quality #Schooling via #Franchising. #EdTech #Entrepreneurship #Preschools #Righttolearn', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2009, 7, 9, 6, 0, 53, tzinfo=datetime.timezone.utc), 'followersCount': 22486, 'friendsCount': 4956, 'statusesCount': 14847, 'favouritesCount': 994, 'listedCount': 224, 'mediaCount': 977, 'location': 'India, Nepal & Bangladesh', 'protected': False, 'linkUrl': 'http://www.amolarora.com', 'linkTcourl': 'https://t.co/uj0U1d5x6p', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1275485847064727552/PXvA5bCi_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/55158929/1592934500', 'label': None}",New Delhi
2016-12-08 08:40:24+00:00,"BIGGEST POSITIVE RESULT OF DEMONETIZATION! MAN BEHIND FAKE INDIAN CURRENCIES COMMIT SUICIDE IN PAKISTAN!

https://t.co/LcIgExd1EH","{'username': 'bbgarg7', 'id': 149380242, 'displayname': 'BHARAT BHUSHAN GARG', 'description': 'only modi', 'rawDescription': 'only modi', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2010, 5, 29, 4, 14, 5, tzinfo=datetime.timezone.utc), 'followersCount': 8605, 'friendsCount': 1717, 'statusesCount': 25560, 'favouritesCount': 1064, 'listedCount': 27, 'mediaCount': 7591, 'location': 'Rohini, New Delhi', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1351553854781865990/9nD9TcYY_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/149380242/1517736868', 'label': None}",New Delhi
2016-12-08 07:57:11+00:00,@Vinaychhadva Could you share more details? We are about to publish a report on post-demonetization scams and this could be added,"{'username': 'LocalPressCo', 'id': 2976781284, 'displayname': 'LocalPressCo Mumbai', 'description': ""Mumbai's largest independent digital news platform | Follow for curated & breaking news stories from Mumbai | Facebook facebook.com/LocalPressCo/"", 'rawDescription': ""Mumbai's largest independent digital news platform | Follow for curated & breaking news stories from Mumbai | Facebook https://t.co/ZPVC79cz1K"", 'descriptionUrls': [{'text': 'facebook.com/LocalPressCo/', 'url': 'https://www.facebook.com/LocalPressCo/', 'tcourl': 'https://t.co/ZPVC79cz1K', 'indices': (119, 142)}], 'verified': False, 'created': datetime.datetime(2015, 1, 12, 13, 18, 43, tzinfo=datetime.timezone.utc), 'followersCount': 10776, 'friendsCount': 242, 'statusesCount': 32583, 'favouritesCount': 1270, 'listedCount': 186, 'mediaCount': 5643, 'location': 'Maharashtra, India', 'protected': False, 'linkUrl': 'https://localpress.co.in', 'linkTcourl': 'https://t.co/OkU9OpfqXr', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/561093069617889280/8MWreR1D_normal.png', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2976781284/1469621549', 'label': None}",New Delhi
2016-12-08 07:27:45+00:00,An interesting read Why #demonetization will likely succeed in India.Will this help digitizing Indian economy? More@ https://t.co/JEgGlPMa5b https://t.co/qpgj07fyiO,"{'username': 'BFSI_Testing', 'id': 804193271358464004, 'displayname': 'BFSI Testing', 'description': '#News, #Information & #Technology trends in #BFSI segments: #Financial applications  \n#Mobile wallet, Online Money transfer portals, BFSI Portals, #Banking Apps', 'rawDescription': '#News, #Information & #Technology trends in #BFSI segments: #Financial applications  \n#Mobile wallet, Online Money transfer portals, BFSI Portals, #Banking Apps', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2016, 12, 1, 5, 19, 51, tzinfo=datetime.timezone.utc), 'followersCount': 71, 'friendsCount': 97, 'statusesCount': 62, 'favouritesCount': 77, 'listedCount': 9, 'mediaCount': 35, 'location': 'Noida, India', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/804195720970407936/AjMDDXr6_normal.jpg', 'profileBannerUrl': None, 'label': None}",New Delhi
