date,content,user,geo_tag
2017-01-06 07:08:01+00:00,Demonetization invent cashless that completely changed Indian thoughts of business. Thanks Modi ji for your initiation towards development. https://t.co/QqfU312plH,"{'username': 'basudeo2017', 'id': 816228936329797634, 'displayname': 'Bharti Placement', 'description': 'Bharti Placement is a recruitment and Executive search partner extensive expertise & experience in the job market.', 'rawDescription': 'Bharti Placement is a recruitment and Executive search partner extensive expertise & experience in the job market.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2017, 1, 3, 10, 25, 18, tzinfo=datetime.timezone.utc), 'followersCount': 17, 'friendsCount': 337, 'statusesCount': 86, 'favouritesCount': 0, 'listedCount': 0, 'mediaCount': 10, 'location': 'भारत', 'protected': False, 'linkUrl': 'http://www.bhartiplacement.com', 'linkTcourl': 'https://t.co/5FobZoZ5Ir', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/817325523026276352/8GIF8uvC_normal.jpg', 'profileBannerUrl': None, 'label': None}",New Delhi
2017-01-05 17:31:46+00:00,"@AitcSupporter unable to understand what students loose duet to demonetization,","{'username': 'mukeshkaushik62', 'id': 2430815210, 'displayname': 'Mukesh Kaushik', 'description': 'India first, religion, region, cast,colour every thing afterwards', 'rawDescription': 'India first, religion, region, cast,colour every thing afterwards', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2014, 4, 6, 18, 4, 39, tzinfo=datetime.timezone.utc), 'followersCount': 1411, 'friendsCount': 3395, 'statusesCount': 63847, 'favouritesCount': 134861, 'listedCount': 4, 'mediaCount': 53, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/452870163583361024/I6ZJJw-U_normal.jpeg', 'profileBannerUrl': None, 'label': None}",New Delhi
2017-01-05 12:05:52+00:00,"President Pranab Mukherjee:Demonetization,while immobilizing black money &amp; fighting corruption,may lead to temporary slowdown of the economy","{'username': 'DynamiteNews_', 'id': 3303023034, 'displayname': 'Dynamite News', 'description': 'Credible and Fastest News Portal of India | Single Window Destination for Real Time Updated and Breaking News', 'rawDescription': 'Credible and Fastest News Portal of India | Single Window Destination for Real Time Updated and Breaking News', 'descriptionUrls': None, 'verified': True, 'created': datetime.datetime(2015, 8, 1, 5, 56, 52, tzinfo=datetime.timezone.utc), 'followersCount': 16586, 'friendsCount': 65, 'statusesCount': 147941, 'favouritesCount': 10555, 'listedCount': 0, 'mediaCount': 60746, 'location': 'New Delhi, India', 'protected': False, 'linkUrl': 'https://www.dynamitenews.com/', 'linkTcourl': 'https://t.co/eIViVjVfJw', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1411731374457819136/CNlNL9pu_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/3303023034/1542293767', 'label': None}",New Delhi
2017-01-04 15:52:02+00:00,Demonetization: 'Modi's war on cash pushes Indian economy into contraction' https://t.co/fKll8jfWWq -via @AppsRediff,"{'username': 'subash_gzb', 'id': 181853967, 'displayname': 'Col Subash Sharma', 'description': '', 'rawDescription': '', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2010, 8, 23, 6, 9, 58, tzinfo=datetime.timezone.utc), 'followersCount': 4, 'friendsCount': 86, 'statusesCount': 112, 'favouritesCount': 1, 'listedCount': 0, 'mediaCount': 3, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/816328917074132993/xSIYVQYm_normal.jpg', 'profileBannerUrl': None, 'label': None}",New Delhi
2017-01-04 13:42:03+00:00,@TOILucknow For Congress demonetization will be the main issue in UP 2017 polls: Congress MLA Ajay Rai. https://t.co/JYohSagGaN,"{'username': 'binays1960', 'id': 2524173307, 'displayname': 'Binay Singh', 'description': 'Media professional, worked with The Times of India, The Hindustan Times, The Pioneer. currently working as a freelancer.', 'rawDescription': 'Media professional, worked with The Times of India, The Hindustan Times, The Pioneer. currently working as a freelancer.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2014, 5, 26, 4, 51, 18, tzinfo=datetime.timezone.utc), 'followersCount': 1036, 'friendsCount': 342, 'statusesCount': 3140, 'favouritesCount': 38, 'listedCount': 7, 'mediaCount': 724, 'location': 'Varanasi ', 'protected': False, 'linkUrl': 'https://news20-20.com', 'linkTcourl': 'https://t.co/v2SzkOEMqC', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1463186100667621379/dFslWNDJ_normal.jpg', 'profileBannerUrl': None, 'label': None}",New Delhi
2017-01-04 12:40:01+00:00,Nothing shocking. When the Top Leaders of BJP are not bothered about 100 deaths due to Demonetization but more for Rich Revellers in a Bar. https://t.co/sIAhERZMXr,"{'username': 'ANI1945', 'id': 51447752, 'displayname': 'ASHWANI ARORA', 'description': 'Normal Indian Senior Citizen living happily with family.', 'rawDescription': 'Normal Indian Senior Citizen living happily with family.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2009, 6, 27, 14, 12, 58, tzinfo=datetime.timezone.utc), 'followersCount': 136, 'friendsCount': 125, 'statusesCount': 12181, 'favouritesCount': 4984, 'listedCount': 0, 'mediaCount': 396, 'location': 'NOIDA, INDIA', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1392524242994950148/S3ncf8W-_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/51447752/1453469840', 'label': None}",New Delhi
2017-01-03 18:49:22+00:00,"12+ ATMs, 45 minutes of time and energy, resulted in some money. :( #Demon of #demonetization @… https://t.co/q6BTFPE73c","{'username': 'DipanshuBansal', 'id': 100226053, 'displayname': 'DIPANSHU BANSAL FIII', 'description': 'Thinker,Traveler,Photographer,Full of Ideas, putting efforts for an idea to work. Love Insurtech innovations and consulting in insurance sector.', 'rawDescription': 'Thinker,Traveler,Photographer,Full of Ideas, putting efforts for an idea to work. Love Insurtech innovations and consulting in insurance sector.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2009, 12, 29, 13, 32, 48, tzinfo=datetime.timezone.utc), 'followersCount': 608, 'friendsCount': 320, 'statusesCount': 6627, 'favouritesCount': 660, 'listedCount': 6, 'mediaCount': 302, 'location': 'New Delhi', 'protected': False, 'linkUrl': 'http://www.gacchami.com', 'linkTcourl': 'https://t.co/5Qi94cWOTp', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1042121888296837120/a8wWOg0l_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/100226053/1538770920', 'label': None}",New Delhi
2017-01-03 16:29:26+00:00,After Demonetization how much of your transactions are cashless,"{'username': 'Rajesh290165', 'id': 2430851126, 'displayname': 'Rajesh Sharma', 'description': '', 'rawDescription': '', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2014, 4, 6, 18, 35, 19, tzinfo=datetime.timezone.utc), 'followersCount': 131, 'friendsCount': 1025, 'statusesCount': 13691, 'favouritesCount': 7325, 'listedCount': 0, 'mediaCount': 1423, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1480878876142161920/SjYI7UZf_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2430851126/1479524653', 'label': None}",New Delhi
2017-01-03 15:04:50+00:00,@PMOIndia @arunjaitley @ArvindKejriwal  demonetization​ proved that gold is biggest culprit for consuming black money.,"{'username': 'anu196907', 'id': 2895407791, 'displayname': 'ANU AGRAWAL', 'description': '', 'rawDescription': '', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2014, 11, 10, 6, 59, 16, tzinfo=datetime.timezone.utc), 'followersCount': 15, 'friendsCount': 40, 'statusesCount': 3646, 'favouritesCount': 1673, 'listedCount': 1, 'mediaCount': 34, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'profileBannerUrl': None, 'label': None}",New Delhi
2017-01-03 14:41:41+00:00,"@PMOIndia Digital India Promotion!
New charges on credit card payment post demonetization @delhi metro https://t.co/JkL3jBlTMu","{'username': 'Anil27850280', 'id': 1685436770, 'displayname': 'Anil G', 'description': 'Law', 'rawDescription': 'Law', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2013, 8, 20, 10, 19, 28, tzinfo=datetime.timezone.utc), 'followersCount': 18, 'friendsCount': 465, 'statusesCount': 787, 'favouritesCount': 605, 'listedCount': 0, 'mediaCount': 18, 'location': 'New Delhi', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1188288743406370818/NRD-ubma_normal.jpg', 'profileBannerUrl': None, 'label': None}",New Delhi
